,,,5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理会社,客先名称,運搬業者,品名,,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土),31(日),合計,,,,
,御殿場事業所,,ｼｭﾚｯﾀ-ﾞﾌﾟﾚｽ,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,御殿場→厚木,ｻﾞｯｼ,"14,100"
,御殿場事業所,,軟質ﾌﾟﾗ,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,御殿場→厚木,その他,0
,御殿場事業所,,ウエス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,富　士→厚木,ﾀﾞﾝﾎﾞｰﾙ,"16,250"
,御殿場事業所,,紙管,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,富　士→厚木,ｻﾞｯｼ,"37,730"
,御殿場事業所,,剥離紙,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,富　士→厚木,その他,0
,御殿場事業所,,雑袋,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,浜　松→厚木,ﾀﾞﾝﾎﾞｰﾙ,0
,御殿場事業所,,雑がみ,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,浜　松→厚木,ｻﾞｯｼ,"11,070"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浜　松→厚木,その他,"10,830"
,冨士事業所,,輸出ﾀﾞﾝﾎﾞｰﾙ,引取,,,,,,,,,,,,"3,020",,,,,,,"2,980",,,,,,,"10,250",,,,,,"16,250",,その他,,"11,700"
,冨士事業所,,輸出雑誌,引取,,,,,,,,,,,,"9,630",,,,,,,"11,360",,,,,,"12,460","4,280",,,,,,"37,730",,横持品合計,,"101,680"
,冨士事業所,,雑がみ・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,冨士事業所,,色損紙・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,冨士事業所,,ﾃｨｯｼｭ損紙,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,冨士事業所,,感熱紙・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,冨士事業所,,紙管,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,冨士事業所,,ワンプ,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,浜松事業所,,輸出ﾀﾞﾝﾎﾞｰﾙ,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,浜松事業所,,輸出雑誌,引取,,,,,,,,,,,,,,,,,,,"11,070",,,,,,,,,,,,,"11,070",,,,
,浜松事業所,,紙管・プレス,引取,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,350,,,,
,浜松事業所,,ワンプ,引取,,,,,,,,,,,,,,,,,,,,,,,,,,"10,480",,,,,,"10,480",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,本社事業所,,ライナー（巻取）,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,本社事業所,,雑古紙,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新潟事業所,,輸出雑誌,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
